"Nom de la Station","QUAQTAQ A"
"Province","QUÉBEC"
"Opérateur de station opérationnelle","NAV Canada"
"Latitude","61,05"
"Longitude","-69,62"
"Altitude","32,30"
"ID climatologique","7116271"
"ID de l'OMM",""
"ID de TC","YHA"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2018-07-01 00:00","2018","07","01","00:00"
"2018-07-01 01:00","2018","07","01","01:00"
"2018-07-01 02:00","2018","07","01","02:00"
"2018-07-01 03:00","2018","07","01","03:00"
"2018-07-01 04:00","2018","07","01","04:00"
"2018-07-01 05:00","2018","07","01","05:00"
"2018-07-01 06:00","2018","07","01","06:00"
"2018-07-01 07:00","2018","07","01","07:00"
"2018-07-01 08:00","2018","07","01","08:00"
"2018-07-01 09:00","2018","07","01","09:00"
"2018-07-01 10:00","2018","07","01","10:00"
"2018-07-01 11:00","2018","07","01","11:00"
"2018-07-01 12:00","2018","07","01","12:00"
"2018-07-01 13:00","2018","07","01","13:00"
"2018-07-01 14:00","2018","07","01","14:00"
"2018-07-01 15:00","2018","07","01","15:00"
"2018-07-01 16:00","2018","07","01","16:00"
"2018-07-01 17:00","2018","07","01","17:00"
"2018-07-01 18:00","2018","07","01","18:00"
"2018-07-01 19:00","2018","07","01","19:00"
"2018-07-01 20:00","2018","07","01","20:00"
"2018-07-01 21:00","2018","07","01","21:00"
